Team,Wins,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CONF
Minnesota Timberwolves,31,60,14475,2572,5212,0.493,719,2013,0.357,1853,3199,0.579,1089,1412,0.771,537,1933,2470,1532,488,318,941,1316,6952,1
Utah Jazz,29,59,14235,2498,5259,0.475,833,2297,0.363,1665,2962,0.562,1114,1413,0.788,692,1926,2618,1520,383,287,890,1217,6943,1
Denver Nuggets,40,58,13970,2552,4997,0.511,701,1784,0.393,1851,3213,0.576,985,1313,0.75,570,1908,2478,1684,439,258,868,1115,6790,1
Los Angeles Lakers,26,58,14095,2506,5212,0.481,606,1792,0.338,1900,3420,0.556,1166,1496,0.779,561,2068,2629,1453,372,262,816,1066,6784,1
Atlanta Hawks,29,58,14045,2560,5348,0.479,617,1768,0.349,1943,3580,0.543,1029,1260,0.817,620,1929,2549,1430,405,284,746,1104,6766,0
Golden State Warriors,29,57,13805,2456,5143,0.478,948,2461,0.385,1508,2682,0.562,896,1134,0.79,564,1932,2496,1706,407,215,939,1257,6756,1
Indiana Pacers,25,59,14185,2423,5282,0.459,810,2247,0.36,1613,3035,0.531,1097,1383,0.793,599,1856,2455,1557,472,344,891,1260,6753,0
New York Knicks,32,59,14385,2435,5283,0.461,713,2062,0.346,1722,3221,0.535,1169,1518,0.77,764,2000,2764,1325,363,236,754,1230,6752,0
Cleveland Cavaliers,38,60,14575,2473,5063,0.488,688,1891,0.364,1785,3172,0.563,1071,1378,0.777,580,1941,2521,1497,421,263,838,1120,6705,0
Boston Celtics,41,57,13855,2373,5011,0.474,903,2397,0.377,1470,2614,0.562,1053,1274,0.827,542,2030,2572,1500,353,304,770,1077,6702,0
Sacramento Kings,32,56,13515,2423,4899,0.495,741,2030,0.365,1682,2869,0.586,1113,1390,0.801,503,1839,2342,1504,385,186,783,1107,6700,1
New Orleans Pelicans,30,58,14070,2455,5110,0.48,628,1763,0.356,1827,3347,0.546,1139,1458,0.781,641,1913,2554,1495,499,246,871,1198,6677,1
Dallas Mavericks,31,59,14360,2323,4914,0.473,872,2394,0.364,1451,2520,0.576,1153,1542,0.748,472,1817,2289,1316,382,221,732,1231,6671,1
Charlotte Hornets,16,59,14310,2476,5437,0.455,634,1955,0.324,1842,3482,0.529,1044,1400,0.746,692,1945,2637,1489,477,293,811,1227,6630,0
Oklahoma City Thunder,27,56,13590,2442,5185,0.471,685,1873,0.366,1757,3312,0.53,1018,1271,0.801,639,1805,2444,1386,464,274,761,1197,6587,1
Toronto Raptors,27,58,14020,2397,5278,0.454,633,1883,0.336,1764,3395,0.52,1136,1451,0.783,735,1748,2483,1346,537,302,679,1191,6563,0
Portland Trail Blazers,28,57,13730,2330,4821,0.483,744,1977,0.376,1586,2844,0.558,1158,1440,0.804,561,1812,2373,1386,354,246,836,1174,6562,1
Los Angeles Clippers,31,59,14235,2367,5061,0.468,744,1975,0.377,1623,3086,0.526,1070,1384,0.773,584,1990,2574,1332,402,275,833,1147,6548,1
Phoenix Suns,31,58,14020,2407,5200,0.463,721,1900,0.379,1686,3300,0.511,999,1260,0.793,698,1862,2560,1569,420,291,822,1218,6534,1
San Antonio Spurs,14,58,14020,2498,5312,0.47,609,1787,0.341,1889,3525,0.536,919,1230,0.747,687,1794,2481,1566,407,224,905,1167,6524,1
Detroit Pistons,15,58,14045,2304,5076,0.454,682,1931,0.353,1622,3145,0.516,1225,1584,0.773,640,1815,2455,1322,421,216,867,1303,6515,0
Memphis Grizzlies,34,56,13490,2430,5152,0.472,630,1828,0.345,1800,3324,0.542,1012,1409,0.718,716,1959,2675,1418,466,336,810,1127,6502,1
Brooklyn Nets,33,57,13705,2414,4812,0.502,713,1824,0.391,1701,2988,0.569,956,1207,0.792,448,1856,2304,1470,394,372,810,1244,6497,0
Chicago Bulls,26,57,13805,2419,4954,0.488,584,1631,0.358,1835,3323,0.552,1037,1275,0.813,483,1957,2440,1382,431,257,798,1113,6459,0
Orlando Magic,24,58,13995,2324,4936,0.471,619,1775,0.349,1705,3161,0.539,1163,1478,0.787,577,1906,2483,1315,415,268,876,1179,6430,0
Milwaukee Bucks,39,56,13540,2340,5050,0.463,798,2231,0.358,1542,2819,0.547,939,1275,0.736,656,2094,2750,1381,371,279,842,1027,6417,0
Philadelphia 76ers,37,56,13565,2276,4717,0.483,708,1849,0.383,1568,2868,0.547,1140,1377,0.828,484,1789,2273,1406,448,263,773,1139,6400,0
Washington Wizards,26,56,13490,2347,4848,0.484,631,1776,0.355,1716,3072,0.559,1026,1309,0.784,526,1935,2461,1416,381,304,788,1079,6351,0
Miami Heat,32,58,14020,2267,5015,0.452,678,2026,0.335,1589,2989,0.532,1075,1295,0.83,581,1818,2399,1363,495,176,779,1093,6287,0
Houston Rockets,13,57,13730,2274,5025,0.453,619,1892,0.327,1655,3133,0.528,1103,1458,0.757,748,1905,2653,1279,407,281,970,1163,6270,1
